LocationKey,City,State,PostalCode,Country,Region,CreatedDate
273,AHMADABAD,GUJARAT,380001,IN,West India,2026-09-06T03:33:59.032832
274,AHMADABAD,GUJARAT,382424,IN,West India,2026-09-06T03:33:59.032832
275,AHMADNAGAR,MAHARASHTRA,414002,IN,West India,2026-09-06T03:33:59.032832
276,AHMADNAGAR,MAHARASHTRA,414003,IN,West India,2026-09-06T03:33:59.032832
277,AHMADNAGAR,MAHARASHTRA,414501,IN,West India,2026-09-06T03:33:59.032832
278,AHMEDABAD,GUJARAT,380001,IN,West India,2026-09-06T03:33:59.032832
279,AHMEDABAD,GUJARAT,380002,IN,West India,2026-09-06T03:33:59.032832
280,AHMEDABAD,GUJARAT,380008,IN,West India,2026-09-06T03:33:59.032832
281,AHMEDABAD,GUJARAT,380009,IN,West India,2026-09-06T03:33:59.032832
282,AHMEDABAD,GUJARAT,380015,IN,West India,2026-09-06T03:33:59.032832
283,AHMEDABAD,GUJARAT,380016,IN,West India,2026-09-06T03:33:59.032832
284,AHMEDABAD,GUJARAT,380024,IN,West India,2026-09-06T03:33:59.032832
285,AHMEDABAD,GUJARAT,380051,IN,West India,2026-09-06T03:33:59.032832
286,AHMEDABAD,GUJARAT,380052,IN,West India,2026-09-06T03:33:59.032832
287,AHMEDABAD,GUJARAT,380058,IN,West India,2026-09-06T03:33:59.032832
288,AHMEDABAD,GUJARAT,380059,IN,West India,2026-09-06T03:33:59.032832
289,AHMEDABAD,GUJARAT,380060,IN,West India,2026-09-06T03:33:59.032832
290,AHMEDABAD,GUJARAT,382315,IN,West India,2026-09-06T03:33:59.032832
291,AHMEDABAD,GUJARAT,382418,IN,West India,2026-09-06T03:33:59.032832
292,AHMEDABAD,GUJARAT,382443,IN,West India,2026-09-06T03:33:59.032832
293,AHMEDABAD,GUJARAT,382470,IN,West India,2026-09-06T03:33:59.032832
294,AHMEDABAD,GUJARAT,382480,IN,West India,2026-09-06T03:33:59.032832
295,AHMEDNAGAR,MAHARASHTRA,414003,IN,West India,2026-09-06T03:33:59.032832
296,AHMEDNAGAR,MAHARASHTRA,422601,IN,West India,2026-09-06T03:33:59.032832
297,AHMEDPUR,MAHARASHTRA,413523,IN,West India,2026-09-06T03:33:59.032832
298,"AINAVILLI MANDAL, EAST GODHAVARI",ANDHRA PRADESH,533211,IN,South India,2026-09-06T03:33:59.032832
299,AIZAWL,MIZORAM,796012,IN,Other,2026-09-06T03:33:59.032832
300,AJAYGARH,MADHYA PRADESH,488220,IN,Central India,2026-09-06T03:33:59.032832
301,AJMER,RAJASTHAN,305007,IN,North India,2026-09-06T03:33:59.032832
302,AJNALA,PUNJAB,143102,IN,North India,2026-09-06T03:33:59.032832
303,"AKASH NAGAR ANNEXE, MANIMEDU",TAMIL NADU,600128,IN,South India,2026-09-06T03:33:59.032832
304,AKOLA,MAHARASHTRA,444001,IN,West India,2026-09-06T03:33:59.032832
305,AKOT,MAHARASHTRA,444101,IN,West India,2026-09-06T03:33:59.032832
306,AKURDI,MAHARASHTRA,411033,IN,West India,2026-09-06T03:33:59.032832
307,ALAND,KARNATAKA,585302,IN,South India,2026-09-06T03:33:59.032832
308,ALAND,KARNATAKA,585311,IN,South India,2026-09-06T03:33:59.032832
309,ALANDI,MAHARASHTRA,412105,IN,West India,2026-09-06T03:33:59.032832
310,ALANGAD VIA,KERALA,683511,IN,South India,2026-09-06T03:33:59.032832
